state_name,block_code,stage2_works_api,stage2_works_db,delta_fetch_stage2,works_sent_mq,works_processed_function_app,delta_processed_stage2,flagged_works_ai_rule,flagged_works_percen_ai_rule,stage2_works_sent_nic,last_updated_datetime
ANDAMAN AND NICOBAR,0103001,2,2.0,0.0,0.0,4.0,-4.0,2.0,50.0,4.0,2024-06-18 04:48:28.868147+00:00
ANDAMAN AND NICOBAR,0103002,3,3.0,0.0,0.0,6.0,-6.0,4.0,66.67,6.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208006,28,28.0,0.0,0.0,56.0,-56.0,22.0,39.29,56.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203039,34,34.0,0.0,0.0,68.0,-68.0,18.0,26.47,68.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205001,10,10.0,0.0,0.0,20.0,-20.0,6.0,30.0,20.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201011,17,17.0,0.0,0.0,34.0,-34.0,14.0,41.18,34.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204011,9,9.0,0.0,0.0,18.0,-18.0,10.0,55.56,18.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206048,54,54.0,0.0,0.0,108.0,-108.0,16.0,14.81,108.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209003,34,34.0,0.0,0.0,68.0,-68.0,8.0,11.76,68.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213004,6,6.0,0.0,0.0,12.0,-12.0,2.0,16.67,12.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207001,2,2.0,0.0,0.0,4.0,-4.0,0.0,0.0,4.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212021,38,38.0,0.0,0.0,76.0,-76.0,6.0,7.89,76.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203022,5,5.0,0.0,0.0,10.0,-10.0,2.0,20.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210006,29,29.0,0.0,0.0,59.0,-59.0,21.0,35.59,59.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209041,7,7.0,0.0,0.0,14.0,-14.0,0.0,0.0,14.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208031,17,17.0,0.0,0.0,34.0,-34.0,10.0,29.41,34.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210027,38,38.0,0.0,0.0,76.0,-76.0,34.0,44.74,76.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211036,9,9.0,0.0,0.0,18.0,-18.0,0.0,0.0,18.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204006,72,72.0,0.0,0.0,144.0,-144.0,34.0,23.61,144.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206031,41,41.0,0.0,0.0,82.0,-82.0,14.0,17.07,82.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212034,35,35.0,0.0,0.0,70.0,-70.0,30.0,42.86,70.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210026,5,5.0,0.0,0.0,10.0,-10.0,0.0,0.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204043,6,6.0,0.0,0.0,12.0,-12.0,2.0,16.67,12.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201009,45,45.0,0.0,0.0,90.0,-90.0,12.0,13.33,90.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201028,23,23.0,0.0,0.0,46.0,-46.0,16.0,34.78,46.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208029,51,51.0,0.0,0.0,102.0,-102.0,44.0,43.14,102.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204049,8,8.0,0.0,0.0,16.0,-16.0,12.0,75.0,16.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206042,6,6.0,0.0,0.0,12.0,-12.0,0.0,0.0,12.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204016,19,19.0,0.0,0.0,38.0,-38.0,6.0,15.79,38.0,2024-06-18 04:48:28.868147+00:00
